age,labor_force_status,weekly_earnings_raw,education_level,sex,marital_status,race,industry_code,survey_weight_raw,metro_status,is_employed
41.0,7.0,,44.0,2.0,1.0,1.0,,31333439.0,1.0,
40.0,1.0,,44.0,1.0,6.0,1.0,7390.0,38162092.0,1.0,1.0
36.0,1.0,45000.0,39.0,2.0,6.0,1.0,7860.0,35072381.0,1.0,1.0
54.0,6.0,,34.0,2.0,5.0,2.0,,58879751.0,1.0,
27.0,1.0,173000.0,43.0,1.0,1.0,1.0,7290.0,40071133.0,1.0,1.0
26.0,1.0,230000.0,43.0,2.0,1.0,1.0,6992.0,34161999.0,1.0,1.0
40.0,1.0,13000.0,44.0,2.0,1.0,1.0,7860.0,31611246.0,1.0,1.0
39.0,1.0,,44.0,1.0,1.0,1.0,7280.0,36079247.0,1.0,1.0
46.0,1.0,70000.0,39.0,1.0,1.0,2.0,4771.0,68488656.0,1.0,1.0
39.0,1.0,120000.0,39.0,2.0,1.0,2.0,8270.0,61761875.0,1.0,1.0
32.0,1.0,,39.0,2.0,1.0,1.0,5392.0,35140006.0,1.0,1.0
33.0,1.0,,39.0,1.0,1.0,1.0,9570.0,26670821.0,1.0,1.0
39.0,5.0,,39.0,1.0,1.0,1.0,,33778999.0,1.0,
29.0,5.0,,43.0,2.0,1.0,1.0,,49287465.0,1.0,
41.0,1.0,,44.0,2.0,6.0,1.0,7390.0,41425371.0,1.0,1.0
25.0,,,40.0,1.0,6.0,1.0,,0.0,1.0,
51.0,1.0,,44.0,2.0,4.0,1.0,7860.0,28388855.0,1.0,1.0
51.0,1.0,,40.0,1.0,4.0,1.0,3390.0,33270370.0,1.0,1.0
45.0,1.0,90600.0,43.0,2.0,1.0,1.0,8191.0,43255279.0,1.0,1.0
51.0,1.0,88000.0,41.0,1.0,1.0,1.0,8370.0,46728600.0,1.0,1.0
52.0,1.0,,39.0,1.0,6.0,1.0,7770.0,46728600.0,1.0,1.0
53.0,1.0,,39.0,2.0,1.0,1.0,7970.0,37224481.0,1.0,1.0
26.0,1.0,,39.0,2.0,6.0,1.0,8180.0,34370925.0,1.0,1.0
39.0,1.0,,43.0,2.0,1.0,1.0,7870.0,37242988.0,1.0,1.0
42.0,4.0,,46.0,1.0,1.0,1.0,4971.0,24528661.0,1.0,0.0
47.0,1.0,,39.0,1.0,4.0,1.0,9180.0,58112726.0,1.0,1.0
25.0,1.0,,40.0,1.0,6.0,1.0,8770.0,29675109.0,1.0,1.0
49.0,1.0,,43.0,1.0,1.0,1.0,770.0,47488305.0,1.0,1.0
42.0,1.0,59600.0,39.0,2.0,1.0,1.0,7870.0,31611246.0,1.0,1.0
40.0,1.0,,43.0,1.0,1.0,1.0,770.0,37086075.0,1.0,1.0
36.0,1.0,,42.0,2.0,1.0,1.0,8191.0,47665205.0,1.0,1.0
29.0,1.0,,43.0,1.0,6.0,1.0,6471.0,29498679.0,1.0,1.0
44.0,6.0,,39.0,2.0,1.0,1.0,,31333439.0,1.0,
54.0,1.0,100000.0,39.0,1.0,1.0,1.0,3580.0,46728600.0,1.0,1.0
26.0,1.0,,44.0,1.0,6.0,4.0,8090.0,27840294.0,1.0,1.0
31.0,1.0,,43.0,1.0,1.0,1.0,8191.0,24869616.0,1.0,1.0
29.0,1.0,,46.0,2.0,1.0,1.0,7270.0,38155385.0,1.0,1.0
46.0,1.0,,39.0,2.0,6.0,4.0,7860.0,30521543.0,1.0,1.0
38.0,7.0,,39.0,2.0,1.0,1.0,,34374825.0,1.0,
39.0,1.0,,43.0,1.0,1.0,1.0,6170.0,25956237.0,1.0,1.0
43.0,1.0,,39.0,1.0,4.0,1.0,3970.0,24763040.0,2.0,1.0
38.0,1.0,,39.0,1.0,6.0,1.0,9370.0,24255305.0,1.0,1.0
29.0,1.0,,39.0,2.0,6.0,1.0,8170.0,40004053.0,1.0,1.0
32.0,1.0,,40.0,2.0,4.0,16.0,8680.0,51785112.0,1.0,1.0
49.0,1.0,,40.0,2.0,1.0,1.0,4670.0,35960168.0,1.0,1.0
52.0,1.0,,41.0,1.0,1.0,1.0,770.0,34333380.0,1.0,1.0
27.0,1.0,52600.0,39.0,2.0,1.0,1.0,7690.0,39835655.0,1.0,1.0
33.0,1.0,100000.0,39.0,1.0,1.0,1.0,770.0,39761038.0,1.0,1.0
43.0,1.0,,39.0,1.0,6.0,1.0,3291.0,35584828.0,1.0,1.0
52.0,1.0,,40.0,2.0,4.0,1.0,8470.0,35956347.0,1.0,1.0
50.0,7.0,,39.0,2.0,1.0,1.0,,37399193.0,1.0,
43.0,7.0,,44.0,2.0,6.0,1.0,,31863445.0,1.0,
38.0,1.0,,42.0,2.0,4.0,1.0,9570.0,10062671.0,1.0,1.0
31.0,1.0,103800.0,43.0,2.0,6.0,1.0,7860.0,13301551.0,1.0,1.0
49.0,6.0,,35.0,2.0,4.0,1.0,,8698696.0,2.0,
32.0,7.0,,37.0,2.0,6.0,1.0,,11920592.0,2.0,
28.0,1.0,,46.0,1.0,1.0,1.0,7270.0,11972236.0,1.0,1.0
28.0,1.0,,44.0,2.0,1.0,1.0,8191.0,8362141.0,1.0,1.0
27.0,1.0,,39.0,1.0,6.0,1.0,8790.0,10994184.0,1.0,1.0
32.0,1.0,,39.0,1.0,6.0,1.0,6180.0,12552619.0,1.0,1.0
37.0,1.0,,43.0,1.0,1.0,1.0,6695.0,8917945.0,1.0,1.0
36.0,7.0,,43.0,2.0,1.0,1.0,,10051956.0,1.0,
41.0,1.0,154000.0,41.0,1.0,6.0,6.0,7860.0,12798707.0,1.0,1.0
51.0,2.0,,39.0,1.0,1.0,1.0,770.0,9422498.0,1.0,1.0
43.0,1.0,,39.0,2.0,1.0,1.0,4981.0,13775354.0,1.0,1.0
37.0,1.0,,43.0,1.0,4.0,1.0,7390.0,12533367.0,1.0,1.0
36.0,1.0,,44.0,2.0,4.0,1.0,7390.0,13074123.0,1.0,1.0
42.0,1.0,,41.0,1.0,6.0,1.0,3990.0,8507991.0,1.0,1.0
48.0,1.0,,43.0,1.0,6.0,4.0,6871.0,8914469.0,1.0,1.0
29.0,5.0,,39.0,1.0,4.0,1.0,,11584970.0,1.0,
47.0,1.0,,44.0,1.0,4.0,1.0,9590.0,7830742.0,1.0,1.0
45.0,1.0,,44.0,2.0,4.0,1.0,8191.0,7364313.0,1.0,1.0
35.0,1.0,69200.0,46.0,1.0,6.0,1.0,7870.0,8276938.0,1.0,1.0
30.0,1.0,69200.0,44.0,1.0,6.0,1.0,7870.0,9686929.0,1.0,1.0
40.0,6.0,,39.0,1.0,6.0,2.0,,18811315.0,1.0,
36.0,6.0,,39.0,1.0,6.0,2.0,,13390692.0,1.0,
35.0,1.0,98000.0,39.0,1.0,6.0,2.0,7690.0,15406951.0,1.0,1.0
41.0,1.0,,43.0,1.0,1.0,1.0,9590.0,8748471.0,1.0,1.0
42.0,1.0,,44.0,2.0,1.0,1.0,1180.0,11074341.0,1.0,1.0
28.0,7.0,,44.0,2.0,1.0,4.0,,14323757.0,1.0,
36.0,1.0,140000.0,39.0,2.0,6.0,2.0,7071.0,13245243.0,1.0,1.0
25.0,1.0,196000.0,39.0,1.0,4.0,2.0,770.0,13200320.0,1.0,1.0
35.0,1.0,,40.0,2.0,6.0,1.0,7970.0,8331482.0,1.0,1.0
35.0,4.0,,39.0,1.0,6.0,1.0,8680.0,8015286.0,1.0,0.0
28.0,1.0,,39.0,1.0,6.0,2.0,8770.0,16084853.0,1.0,1.0
27.0,1.0,,44.0,1.0,6.0,1.0,7870.0,10994184.0,1.0,1.0
39.0,6.0,,39.0,1.0,6.0,1.0,,8460525.0,1.0,
30.0,1.0,,42.0,2.0,4.0,1.0,3390.0,6701084.0,1.0,1.0
47.0,1.0,,43.0,1.0,6.0,1.0,8590.0,7162354.0,1.0,1.0
34.0,1.0,,45.0,1.0,1.0,1.0,7270.0,6061368.0,1.0,1.0
34.0,1.0,,45.0,2.0,1.0,1.0,7270.0,3896350.0,1.0,1.0
36.0,1.0,,44.0,1.0,6.0,1.0,9170.0,4032226.0,1.0,1.0
37.0,1.0,,43.0,2.0,6.0,1.0,9180.0,4171464.0,1.0,1.0
35.0,7.0,,43.0,1.0,6.0,1.0,,4282862.0,1.0,
46.0,6.0,,39.0,1.0,6.0,2.0,,7579373.0,1.0,
46.0,1.0,,45.0,2.0,1.0,1.0,9490.0,4411379.0,1.0,1.0
53.0,1.0,,43.0,1.0,1.0,1.0,7390.0,5847400.0,1.0,1.0
54.0,6.0,,43.0,2.0,6.0,1.0,,4683649.0,1.0,
41.0,1.0,,43.0,1.0,1.0,1.0,9590.0,5235402.0,1.0,1.0
42.0,1.0,,44.0,2.0,1.0,1.0,7390.0,3774023.0,1.0,1.0
45.0,1.0,,39.0,1.0,6.0,1.0,9590.0,4881059.0,1.0,1.0
28.0,1.0,,44.0,2.0,6.0,1.0,6770.0,4747679.0,1.0,1.0
47.0,1.0,,43.0,2.0,6.0,2.0,7860.0,5648393.0,1.0,1.0
36.0,1.0,,44.0,2.0,6.0,2.0,8370.0,5994545.0,1.0,1.0
31.0,1.0,114400.0,43.0,2.0,6.0,1.0,9170.0,3807664.0,1.0,1.0
43.0,1.0,278000.0,45.0,1.0,6.0,1.0,9370.0,4181037.0,1.0,1.0
44.0,1.0,278000.0,43.0,2.0,4.0,1.0,9370.0,3531936.0,1.0,1.0
30.0,1.0,,44.0,1.0,6.0,1.0,7390.0,5536346.0,1.0,1.0
50.0,7.0,,40.0,2.0,1.0,2.0,,3854770.0,1.0,
45.0,1.0,,44.0,2.0,4.0,1.0,7470.0,4029275.0,1.0,1.0
25.0,1.0,,43.0,2.0,6.0,1.0,9290.0,5249989.0,1.0,1.0
39.0,4.0,,45.0,1.0,1.0,4.0,6871.0,5938322.0,1.0,0.0
37.0,1.0,,44.0,2.0,1.0,1.0,570.0,4785642.0,1.0,1.0
54.0,1.0,,44.0,1.0,1.0,1.0,9570.0,5340911.0,1.0,1.0
51.0,1.0,,44.0,2.0,1.0,1.0,7860.0,3977189.0,1.0,1.0
29.0,1.0,,44.0,1.0,6.0,1.0,9590.0,4031919.0,1.0,1.0
51.0,1.0,,43.0,1.0,1.0,1.0,7370.0,5340911.0,1.0,1.0
51.0,1.0,,46.0,2.0,1.0,1.0,7870.0,3977189.0,1.0,1.0
26.0,1.0,,43.0,2.0,6.0,1.0,8680.0,4336445.0,1.0,1.0
26.0,1.0,,44.0,2.0,6.0,1.0,7780.0,4336445.0,1.0,1.0
53.0,1.0,,43.0,2.0,6.0,2.0,7590.0,4414894.0,1.0,1.0
28.0,1.0,,44.0,1.0,6.0,1.0,6881.0,4031919.0,1.0,1.0
30.0,1.0,,43.0,1.0,6.0,1.0,9490.0,3776242.0,1.0,1.0
40.0,1.0,,44.0,1.0,6.0,1.0,9590.0,6038188.0,1.0,1.0
35.0,1.0,,44.0,2.0,6.0,1.0,7390.0,4785642.0,1.0,1.0
25.0,1.0,,43.0,2.0,6.0,1.0,8570.0,4823762.0,1.0,1.0
31.0,4.0,,43.0,1.0,6.0,1.0,6970.0,5371031.0,1.0,0.0
47.0,1.0,,41.0,2.0,4.0,2.0,7580.0,5159141.0,1.0,1.0
26.0,4.0,,39.0,2.0,6.0,2.0,7580.0,6962431.0,1.0,0.0
25.0,2.0,,40.0,2.0,6.0,2.0,4871.0,7334621.0,1.0,1.0
42.0,1.0,,44.0,1.0,4.0,6.0,9490.0,6443015.0,1.0,1.0
40.0,2.0,,41.0,1.0,1.0,8.0,6190.0,69288179.0,1.0,1.0
33.0,7.0,,40.0,2.0,1.0,8.0,,98363831.0,1.0,
39.0,7.0,,42.0,2.0,1.0,1.0,,56255312.0,1.0,
40.0,1.0,,39.0,1.0,1.0,1.0,770.0,63778504.0,1.0,1.0
51.0,1.0,,39.0,1.0,5.0,1.0,6170.0,48258876.0,1.0,1.0
30.0,7.0,,39.0,2.0,6.0,1.0,,54551153.0,1.0,
53.0,1.0,,43.0,1.0,6.0,1.0,6970.0,50033495.0,1.0,1.0
36.0,7.0,,36.0,1.0,4.0,1.0,,60749646.0,1.0,
42.0,6.0,,39.0,1.0,5.0,1.0,,65855621.0,1.0,
53.0,1.0,135000.0,43.0,2.0,6.0,4.0,8090.0,59609436.0,1.0,1.0
54.0,1.0,64000.0,39.0,2.0,6.0,1.0,9470.0,58015007.0,1.0,1.0
45.0,1.0,,39.0,2.0,6.0,1.0,9470.0,49485528.0,1.0,1.0
31.0,1.0,,40.0,1.0,1.0,6.0,7860.0,68182396.0,1.0,1.0
30.0,4.0,,43.0,2.0,1.0,2.0,8070.0,59048915.0,1.0,0.0
45.0,6.0,,43.0,1.0,4.0,1.0,,52048413.0,1.0,
46.0,1.0,,45.0,2.0,1.0,1.0,7970.0,53888954.0,1.0,1.0
50.0,1.0,,42.0,1.0,1.0,1.0,8180.0,52840610.0,1.0,1.0
